,name,amount,long,lat
1,四川,75,104.0833333,30.65
2,湖北,127,114.35,30.61666667
3,甘肃,237,103.8166667,36.05
4,江西,134,115.8666667,28.68333333
5,广西壮族自治区,17,108.3333333,22.8
6,黑龙江,53,126.6833333,45.75
7,上海,636,121.4833333,31.23333333
8,吉林,23,125.3166667,43.86666667
9,河北,178,114.4666667,38.03333333
10,天津,14,117.1833333,39.15
11,山西,48,112.5666667,37.86666667
12,北京,110,116.4666667,39.9
13,辽宁,159,123.4,41.83333333
14,山东,158,117,36.63333333
15,福建,51,119.3,26.08333333
16,内蒙古自治区,43,111.8,40.81666667
17,宁夏回族自治区,46,106.2666667,38.33333333
18,贵州,42,106.7,26.58333333
19,青海,40,101.75,36.63333333
20,海南,19,110.3333333,20.03333333
21,陕西,116,108.9,34.26666667
22,江苏,176,118.8333333,32.03333333
23,安徽,206,117.3,31.85
24,湖南,344,113,28.18333333
25,新疆维吾尔族自治区,2,87.6,43.8
26,重庆,55,106.5333333,29.53333333
27,河南,419,113.7,34.8
28,广东,102,113.25,23.13333333
29,云南,68,102.6833333,25
30,浙江,39,120.15,30.23333333
