"","name","amount","long","lat"
"1","ËÄ´¨",75,104.0833333,30.65
"2","¶õ",127
"3","¸Ê",237
"4","¸Ó",134
"5","¹ð",17
"6","ºÚ",53
"7","»¦",636
"8","¼ª",23
"9","¼½",178
"10","½ò",14
"11","½ú",48
"12","¾©",110
"13","ÁÉ",159
"14","Â³",158
"15","Ãö",51
"16","ÄÚ",43
"17","Äþ",46
"18","Ç­",42
"19","Çà",40
"20","Çí",19
"21","ÉÂ",116
"22","ËÕ",176
"23","Íî",206
"24","Ïæ",344
"25","ÐÂ",2
"26","Óå",55
"27","Ô¥",419
"28","ÔÁ",102
"29","ÔÆ",68
"30","Õã",39
